,count,mean,std,median,iqr,min,max
predicted_duration,187,32.44968822973616,20.9017050608527,30.123182963928144,27.907829841602858,9.221927145774538,131.88109799586888
real_duration,187,54.47806001188354,41.53147616692796,44.37611111111111,37.08625000000001,7.345,258.3566666666667
prediction_error,187,22.028371782147385,33.69490525653973,11.848483702738513,32.99588341343211,-8.984849630594812,236.25738537540283
avg_congestion,187,840.7622491194034,1148.586157609108,447.1503727369542,665.4964174078906,29.9330900243309,8073.009421265141
max_congestion,187,13265.021390374332,16198.301610479297,6871.0,7054.0,4324.0,75224.0
median_congestion,187,91.93850267379679,286.58048882310544,19.0,38.0,4.0,3438.0
