Radius,Voyages,MSE,RMSE,MAE,Mean Error
10 km,168,1369.22341756747,37.00301903314742,23.871408531574666,22.5122318462225
15 km,187,1614.5244312119567,40.18114522026415,23.506266635067327,22.028371782147385
20 km,197,1580.2622551354746,39.752512563805006,23.351068522526262,21.811707938194154
