Speed,MSE,RMSE,MAE,Mean Error
10 knots,1219.9500124208873,34.927782815702564,20.745714252123292,9.04849649025292
12 knots,1392.2701403817473,37.313136297847535,21.583527090796846,16.62009041052469
14 knots,1614.5244312119567,40.18114522026415,23.506266635067327,22.028371782147385
16 knots,1835.4479146476733,42.84212780252252,26.25438787467674,26.084582810864404
